node_id,node_type,label,definition,body_systems,severity,age_groups,icd_category,is_contagious,inheritance
D00001,Disease,Abscess,"These four signs—heat, swelling, redness, and pain—characterize inflammation. There are two types of abscesses, septic and sterile. Most abscesses are septic, which means that they are the result of an infection. Septic abscesses can occur anywhere in the body. Only a germ and the body’s As the proc",respiratory; gastrointestinal; dermatological; infectious,Severe,All ages,Various,No,
D00002,Disease,Abscess incision and drainage,"An infected skin nodule that contains pus may need to be drained via a cut if it does not respond to antibiotics. This allows the pus to escape, and the infection to heal. Once the abscess is properly drained, the prognosis is excellent for the condition itself. The reason for the abscess (other dis",respiratory; neurological; gastrointestinal; musculoskeletal,Critical,All ages,Various,No,
D00003,Disease,"G AL E E N CY C LO PE DI A O F M E D IC I NE , 5 T H E DI T IO N","Abuse is defined as any action that intentionally harms or injures another person. Abuse also encompasses inappropriate use of any substance, especially those that alter consciousness (e.g., alcohol, cocaine, methamphetamines).",musculoskeletal; psychiatric,Severe,Children; Adults/Elderly,Various,No,
D00004,Disease,Acetaminophen,"Acetaminophen, paracetamol, is a medicine that is sold over the counter and combined with stronger pain relievers by prescription, to relieve mild to moderate pain. Purpose Acetaminophen and aspirin are equally effective as pain relievers. But, unlike aspirin, acetaminophen does not reduce inflammat",gastrointestinal,Moderate,Children; Adults/Elderly,Various,No,
D00005,Disease,Acetylsalicylic acid see Aspirin,Achalasia is a disorder of the esophagus that prevents normal swallowing.,cardiovascular; neurological; gastrointestinal; musculoskeletal,Unknown,All ages,Various,No,
D00006,Disease,Achondroplasia,"Achondroplasia is the most common cause of dwarfism, or significantly abnormal short stature.",neurological; gastrointestinal; musculoskeletal,Unknown,Infants,Various,No,Genetic/Hereditary
D00007,Disease,Acne,"Acne is a common skin condition characterized by pimples on the face, chest, and back. It occurs when the pores of the skin become clogged with oil, dead skin cells, and bacteria.",gastrointestinal; endocrine; immunological; dermatological,Unknown,All ages,Various,No,
D00008,Disease,Acoustic neuroma,An acoustic neuroma is a benign tumor involving cells of the myelin sheath that surrounds the vestibulocochlear nerve (eighth cranial nerve).,neurological; musculoskeletal; oncological; ophthalmological,Moderate,All ages,Various,No,Genetic/Hereditary
D00009,Disease,Acrocyanosis,"Acrocyanosis is a decrease in the amount of oxygen delivered to the extremities. The hands and feet turn blue because of the lack of oxygen. Decreased blood supply to the affected areas is caused by constriction or spasm of small blood vessels. BOOKS ‘‘Acoustic Neuroma.’’ Section 7, Chapter 85. In B",neurological; gastrointestinal; dermatological; hematological,Moderate,All ages,Various,No,
D00010,Disease,Acromegaly and gigantism,"Causes and symptoms The sympathetic nerves cause constriction or spasms in the peripheral blood vessels that supply blood to the extremities. The spasms are a contraction of the muscles in the walls of the blood vessels. The contraction decreases the internal diameter of the blood vessels, thereby d",neurological; musculoskeletal; endocrine; dermatological,Severe,All ages,Various,No,
D00011,Disease,Actinomycosis,"Actinomycosis is an infection primarily caused by the bacterium Actinomyces israelii. Infection most often occurs in the face and neck region and is characterized by the presence of a slowly enlarging, hard, red lump.",cardiovascular; neurological; dermatological; infectious,Moderate,All ages,Various,Yes,
D00012,Disease,Acupressure,"Acupressure is a form of touch therapy that utilizes the principles of acupuncture and Chinese medicine. In acupressure, the same points on the body are used as in acupuncture, but are stimulated with finger pressure Therapist working acupressure points on a woman’s shoulder. (Photo ers, Inc.) 40 G ",respiratory; musculoskeletal; immunological,Unknown,All ages,Various,No,
D00013,Disease,Acute kidney failure,"Acute kidney failure occurs when illness, infection, or injury damages the kidneys. Temporarily, the kidneys cannot adequately remove fluids and wastes from the body or maintain the proper level of certain kidney-regulated chemicals in the bloodstream. G AL E E N CY C LO PE DI A O F M E D IC I NE , ",cardiovascular; gastrointestinal; musculoskeletal; endocrine,Critical,All ages,Various,No,
D00014,Disease,Acute lymphangitis,"Acute lymphangitis is a bacterial infection in the lymphatic vessels which is characterized by painful, red streaks below the skin surface. This is a potentially serious infection that can rapidly spread to the bloodstream and be fatal.",cardiovascular; respiratory; neurological; musculoskeletal,Critical,All ages,Various,No,
D00015,Disease,glomerulonephritis,"Acute poststreptococcal glomerulonephritis (APSGN) is an inflammation of the kidney tubules (glomeruli) that filter waste products from the blood, following a streptococcal infection such as strep throat. APSGN is also called postinfectious glomerulonephritis.",dermatological; renal; infectious; hematological,Unknown,All ages,Various,No,
D00016,Disease,Acute stress disorder,Acute stress disorder (ASD) is an anxiety disorder characterized by a cluster of dissociative and anxiety symptoms that occur within a month of a traumatic stressor. The diagnosis was added to the fourth edition of the Diagnostic and Statistical Manual of Mental Disorders(DSM-IV) in 1994 to distingu,neurological; psychiatric,Unknown,All ages,Various,No,Genetic/Hereditary
D00017,Disease,Addiction,"Addiction is a disease of the brain that causes dependence upon or a persistent, compulsive need to use a habit-forming substance or an irresistible urge to engage in an activity, despite harmful consequences. Addictions are characterized by the increasing need for more of the substance or activity ",neurological; psychiatric,Critical,All ages,Various,No,
D00018,Disease,Addison’s disease,Addison’s disease is a disorder involving disrupted functioning of the part of the adrenal gland called the cortex. This results in decreased production of two important chemicals (hormones) normally released by the adrenal cortex: cortisol and aldosterone.,cardiovascular; endocrine; immunological; renal,Moderate,All ages,Various,No,
D00019,Disease,Adenoid hyperplasia,"Adenoid hyperplasia, or sometimes also commonly called adenoid hypertrophy or enlarged adenoids, is the overenlargement (or unusual growth) of the lymph glands (lymphatic tissue) located between the nose and the back of the mouth. The tissues are similar in characteristics to the tonsils.",endocrine; immunological; infectious,Severe,Children,Various,No,
D00020,Disease,Adenovirus infections,"Adenoviruses are DNA viruses (small infectious agents) that cause upper respiratory tract infections, conjunctivitis, and several other infections in humans, They usually infect the tissue lining of the respiratory tract.",respiratory; endocrine; reproductive; infectious,Critical,Infants; Children,Various,Yes,
D00021,Disease,Adhesions,"Adhesions are fibrous bands of scar tissue that form between internal organs and tissues, joining them together abnormally.",neurological; gastrointestinal; immunological; reproductive,Critical,All ages,Various,No,
D00022,Disease,Adjustment disorders,"Systemic anti-inflammatory medications may be used to help prevent adhesion formation. Recent studies suggest that the common oral arthritis drug, Celebrex, an anti-inflammatory COX-2 inhibitor, taken before and immediately after surgery, may help prevent abdominal adhesions. Celebrex is known to in",musculoskeletal; immunological; psychiatric; hematological,Moderate,All ages,Various,No,
D00023,Disease,Admission to the hospital,"Hospital admission involves staying at a hospital for one night or more. Purpose Staying in the hospital overnight is typically required when an individual is too sick to stay at home, requires 24-hour nursing care, or is receiving medications and undergoing tests or surgery that can be performed on",immunological; psychiatric,Severe,Infants,Various,No,
D00024,Disease,Adrenal gland cancer,Adrenal gland cancers are rare cancers occurring in the endocrine tissue of the adrenals. They are characterized by overproduction of adrenal gland hormones. Tumors that arise from the adrenal cortex are termed adrenocortical carcinoma while tumors that develop in the adrenal medulla are known as ph,cardiovascular; endocrine; renal; hematological,Unknown,All ages,C00-D49,No,Genetic/Hereditary
