term,frequency,associated_entries,entry_types
Antibody,24,Allergic rhinitis; Allergy tests; Anaphylaxis; Aspergillosis; Autoimmune disorders; Crohn’s disease; Discoid lupus erythematosus; Fifth disease; Hepatitis B; Hepatitis E,Diagnostic Test; Disease/Disorder; Disease/Condition; Surgical Procedure
Biopsy,19,"Acute lymphangitis; Barium enema; Basal cell carcinoma; Candidiasis; Cervical conization; Colonoscopy; Colposcopy; Hepatitis, autoimmune; Leukemias, chronic; Otitis externa",Disease/Condition; Diagnostic Test; Cancer/Oncological; Disease/Disorder; Surgical Procedure
Enzyme,18,"Abscess; Albinism; Aldolase test; KEY TERMS; G A LE EN CY C LO PE DI A O F ME D IC I NE , 5 T H E DI T IO N; enzyme inhibitors; Antioxidants; Antiulcer drugs; Chikungunya; Ebola",Nutrition/Diet; Drug/Medication; Disease/Condition; Diagnostic Test; Disease/Disorder
Inflammation,16,"Antibiotics, topical; Antispasmodic drugs; Antiulcer drugs; Buerger’s disease; Bursitis; Canker sores; Corneal ulcers; Dermatomyositis; Demographics; Fibrosis",Disease/Disorder; Drug/Medication; Cancer/Oncological; Disease/Condition
Osteoporosis,16,Bone biopsy; Bone disorder drugs; Bone x rays; Chiropractic; Gluten-free diet; Kyphosis; Men’s nutrition; Oligomenorrhea; Oophorectomy; Pelvic fracture,Nutrition/Diet; Drug/Medication; Disease/Condition; Diagnostic Test; Alternative Therapy; Disease/Disorder; Surgical Procedure
Anemia,15,Babesiosis; Fetal hemoglobin test; Fifth disease; Gluten-free diet; Hematocrit; Iron tests; Leeches; Obesity; oligohydramnios; Pyruvate kinase deficiency,Diagnostic Test; Disease/Disorder; Nutrition/Diet; Disease/Condition
Antigen,14,"Allergic rhinitis; Allergy tests; family history of eczema and/or allergies.; Hepatitis, autoimmune; Hepatitis B; (HLA) test; Immunoelectrophoresis; August 6, 2013).; Legionnaires’ disease; Monoclonal antibodies",Diagnostic Test; Disease/Disorder; Disease/Condition
Corticosteroids,14,"Acne; Anabolic steroid use; Anosmia; Common cold; Contact dermatitis; family history of eczema and/or allergies.; Fibrosis; Gluten-free diet; Gout; August 6, 2013).",Disease/Disorder; Nutrition/Diet; Disease/Condition
Catheter,13,Atherectomy; Deep vein thrombosis; Enlarged prostate; Heart valve repair; procedure; Parenteral nutrition; Radiology; Retrograde cystography; Retrograde urethrography; Stem cell transplantation,Disease/Disorder; Nutrition/Diet; Disease/Condition; Surgical Procedure
Abscess,11,www.usdoj.gov/dea/concern/steroids.html; Appendectomy; Crohn’s disease; Debridement; Empyema; Fistula; Keratitis; Mastoiditis; Osteomyelitis; adenoidectomy,Disease/Disorder; Disease/Condition; Surgical Procedure
Meningitis,10,Aspergillosis; Fever; Leptospirosis; Lumbar puncture; Mastoiditis; Meningococcemia; Pneumonia vaccine; Polio; normal flora.; Sulfonamides,Disease/Condition
Neurotransmitter,10,"Addiction; Appetite suppressant drugs; Bulimia nervosa; Caffeine; and the faster the treatment, the better the prognosis.; Depressive disorders; disorder; Neuroendocrine tumors; Premenstrual syndrome; Tourette syndrome",Disease/Disorder; Drug/Medication; Cancer/Oncological; Disease/Condition
Allergen,9,"Allergic rhinitis; Allergy tests; vomiting; Contact dermatitis; Deviated septum; used without a doctor’s approval.; Hepatitis, autoimmune; or chemical exposure; Nasal polyps",Diagnostic Test; Disease/Condition
Cirrhosis,9,"Alagille syndrome; Drug metabolism/interactions; Hemochromatosis; Hepatitis, alcoholic; Hepatitis B; Liver encephalopathy; Peritonitis; Porphyrias; Primary biliary cirrhosis",Disease/Disorder; Drug/Medication; Disease/Condition
Endemic,9,Chikungunya; Flea-borne disease; Gulf War syndrome; Japanese encephalitis; Mosquito-borne disease; Nipah; Polio; Relapsing fever; Threadworm infection,Disease/Disorder; Disease/Condition
Immune system,9,"Discoid lupus erythematosus; August 6, 2013).; Latex allergy; Lumbar puncture; Lymphocyte typing; Monoclonal antibodies; Q fever; Sleeping sickness; Procedures. 2nd ed. New York: Thieme, 2009.",Disease/Condition
Jaundice,9,"Alagille syndrome; Echinococcosis; Karl Finley; Hepatitis, autoimmune; Hepatitis B; Hepatitis E; taken.; Roseola; Yellow fever",Disease/Disorder; Disease/Condition
Laparoscopy,9,Adrenal gland cancer; Ectopic pregnancy; Endometriosis; Karl Finley; Gastric bypass; Infertility therapies; Robot-assisted surgery; Splenic trauma; Tubal ligation,Cancer/Oncological; Disease/Condition; Surgical Procedure
Rosalyn Carson,9,Leishmaniasis; Mastitis; Mastoiditis; Measles; Parentage testing; Pneumonia; Q fever; Sleeping sickness; Smallpox,Diagnostic Test; Disease/Condition
Urethra,9,Enlarged prostate; Erectile dysfunction treatment; Hypospadias and epispadias; procedure; Nongonococcal urethritis; Prostate ultrasound; Retrograde cystography; Retrograde urethrography; Urinary catheterization,Diagnostic Test; Disease/Disorder; Drug/Medication; Disease/Condition
Atherosclerosis,8,Aneurysmectomy; 2011).; Craniotomy; Erectile dysfunction treatment; Ischemia; Obesity and surgery; acids; Space medicine,Drug/Medication; Disease/Condition; Surgical Procedure
Congenital,8,"of other underlying disorders.; Kyphosis; Polydactyly and syndactyly; Prosthetics; Ptosis; in China.’’ PLoS One 8, no. 8 (August 2013):e72606.; Valvular heart disease; Varicose veins",Disease/Disorder; Disease/Condition
